Scenario,Region,Variable,Year,Electricity generation,Electricity capacity
Current Measures,Saskatchewan,Coal & Coke,2031,654.81,115
Global Net-zero,Saskatchewan,Coal & Coke,2031,654.81,115
Canada Net-zero,Saskatchewan,Hydro / Wave / Tidal,2031,4023.46,924.06
Current Measures,Saskatchewan,Hydro / Wave / Tidal,2031,4143.28,914.06
Global Net-zero,Saskatchewan,Hydro / Wave / Tidal,2031,4115.57,914.06
Canada Net-zero,Saskatchewan,Natural Gas,2031,10699.36,3894.35
Current Measures,Saskatchewan,Natural Gas,2031,13100.35,3601.4
Global Net-zero,Saskatchewan,Natural Gas,2031,11974.59,3703.71
Canada Net-zero,Saskatchewan,Oil,2031,0,16.96
Current Measures,Saskatchewan,Oil,2031,0,16.96
Global Net-zero,Saskatchewan,Oil,2031,0,16.96
Canada Net-zero,Saskatchewan,Solar,2031,926.29,386.16
Current Measures,Saskatchewan,Solar,2031,566.44,238.98
Global Net-zero,Saskatchewan,Solar,2031,597.94,220.46
Canada Net-zero,Saskatchewan,Uranium,2031,1800.13,214
Global Net-zero,Saskatchewan,Uranium,2031,1208.51,141.09
Canada Net-zero,Saskatchewan,Wind,2031,12578.88,3331.34
Current Measures,Saskatchewan,Wind,2031,10184.07,2741.92
Global Net-zero,Saskatchewan,Wind,2031,10257.57,2790.64
Canada Net-zero,Yukon,Biomass / Geothermal,2031,156.53,43.93
Current Measures,Yukon,Biomass / Geothermal,2031,186.95,36.73
Global Net-zero,Yukon,Biomass / Geothermal,2031,93.86,40.56
Canada Net-zero,Yukon,Hydro / Wave / Tidal,2031,466.16,104.5
Current Measures,Yukon,Hydro / Wave / Tidal,2031,466.16,104.5
Global Net-zero,Yukon,Hydro / Wave / Tidal,2031,466.16,104.5
Canada Net-zero,Yukon,Natural Gas,2031,173.45,19.8
Current Measures,Yukon,Natural Gas,2031,172.92,19.8
Global Net-zero,Yukon,Natural Gas,2031,173.45,19.8
Canada Net-zero,Yukon,Oil,2031,143.49,23.57
Current Measures,Yukon,Oil,2031,23.73,23.57
Global Net-zero,Yukon,Oil,2031,173.95,23.57
Canada Net-zero,Yukon,Solar,2031,4.39,2.04
Current Measures,Yukon,Solar,2031,3.79,2.04
Global Net-zero,Yukon,Solar,2031,4.39,2.04
Canada Net-zero,Yukon,Wind,2031,14.57,11.02
Current Measures,Yukon,Wind,2031,14.57,10.97
Global Net-zero,Yukon,Wind,2031,14.57,10.95
Canada Net-zero,Alberta,Biomass / Geothermal,2032,4002.19,576.76
Current Measures,Alberta,Biomass / Geothermal,2032,1126.34,285.65
Global Net-zero,Alberta,Biomass / Geothermal,2032,3992.3,576.76
Canada Net-zero,Alberta,Coal & Coke,2032,0,0
Current Measures,Alberta,Coal & Coke,2032,0,0
Global Net-zero,Alberta,Coal & Coke,2032,0,0
Canada Net-zero,Alberta,Hydro / Wave / Tidal,2032,1638.8,894.35
Current Measures,Alberta,Hydro / Wave / Tidal,2032,1651.07,894.35
Global Net-zero,Alberta,Hydro / Wave / Tidal,2032,1646.5,894.35
Canada Net-zero,Alberta,Natural Gas,2032,54542.15,16015.86
Current Measures,Alberta,Natural Gas,2032,87800.22,18008.66
Global Net-zero,Alberta,Natural Gas,2032,53370.91,15145.52
Canada Net-zero,Alberta,Oil,2032,0,7.15
Current Measures,Alberta,Oil,2032,0,7.15
Global Net-zero,Alberta,Oil,2032,0,7.15
Canada Net-zero,Alberta,Solar,2032,12998.31,6362.95
Current Measures,Alberta,Solar,2032,4788.9,2300.47
Global Net-zero,Alberta,Solar,2032,11288.37,5467.84
Canada Net-zero,Alberta,Uranium,2032,1644.67,183.59
Global Net-zero,Alberta,Uranium,2032,0,0
Canada Net-zero,Alberta,Wind,2032,41633.1,10633.44
Current Measures,Alberta,Wind,2032,14174.01,3748.56
Global Net-zero,Alberta,Wind,2032,32463.59,8503.73
Canada Net-zero,British Columbia,Biomass / Geothermal,2032,5735.92,1112.38
Current Measures,British Columbia,Biomass / Geothermal,2032,2830.7,1079.05
Global Net-zero,British Columbia,Biomass / Geothermal,2032,3209.31,1012.38
Canada Net-zero,British Columbia,Hydro / Wave / Tidal,2032,63079.17,17053.47
Current Measures,British Columbia,Hydro / Wave / Tidal,2032,63449.19,17153.47
Global Net-zero,British Columbia,Hydro / Wave / Tidal,2032,63077.13,17053.47
Canada Net-zero,British Columbia,Natural Gas,2032,6282.74,3953.37
Current Measures,British Columbia,Natural Gas,2032,10170.31,4579.25
Global Net-zero,British Columbia,Natural Gas,2032,5734.38,3042.29
Canada Net-zero,British Columbia,Oil,2032,0,36.46
Current Measures,British Columbia,Oil,2032,0,36.46
Global Net-zero,British Columbia,Oil,2032,0,36.46
Canada Net-zero,British Columbia,Solar,2032,3471.78,1784.51
Current Measures,British Columbia,Solar,2032,3508.21,2040.49
Global Net-zero,British Columbia,Solar,2032,3414.1,1733.87
Canada Net-zero,British Columbia,Uranium,2032,7705.9,856
Global Net-zero,British Columbia,Uranium,2032,2650.86,299.17
Canada Net-zero,British Columbia,Wind,2032,5844.37,1860.67
Current Measures,British Columbia,Wind,2032,3919.2,1273.91
Global Net-zero,British Columbia,Wind,2032,5293.02,1730.6
Canada Net-zero,Manitoba,Biomass / Geothermal,2032,79.6,29.06
Current Measures,Manitoba,Biomass / Geothermal,2032,263.03,275.48
Global Net-zero,Manitoba,Biomass / Geothermal,2032,79.6,22
Canada Net-zero,Manitoba,Hydro / Wave / Tidal,2032,42420.46,7622.66
Current Measures,Manitoba,Hydro / Wave / Tidal,2032,37345.31,6572.69
Global Net-zero,Manitoba,Hydro / Wave / Tidal,2032,41891.59,7468.07
Canada Net-zero,Manitoba,Natural Gas,2032,12.12,402.61
Current Measures,Manitoba,Natural Gas,2032,13.03,402.61
Global Net-zero,Manitoba,Natural Gas,2032,14.07,402.61
Canada Net-zero,Manitoba,Oil,2032,0.82,37.31
Current Measures,Manitoba,Oil,2032,1.04,37.31
Global Net-zero,Manitoba,Oil,2032,1.09,37.31
Canada Net-zero,Manitoba,Solar,2032,75.52,6
Current Measures,Manitoba,Solar,2032,42.71,6
Global Net-zero,Manitoba,Solar,2032,111.13,26
Canada Net-zero,Manitoba,Uranium,2032,698.59,196.51
Global Net-zero,Manitoba,Uranium,2032,126.09,34.24
Canada Net-zero,Manitoba,Wind,2032,1100.72,419.93
Current Measures,Manitoba,Wind,2032,2085.78,678.02
Global Net-zero,Manitoba,Wind,2032,1105.51,417.55
Canada Net-zero,New Brunswick,Biomass / Geothermal,2032,241.4,79.2
Current Measures,New Brunswick,Biomass / Geothermal,2032,153.39,79.2
Global Net-zero,New Brunswick,Biomass / Geothermal,2032,177.36,79.2
Canada Net-zero,New Brunswick,Coal & Coke,2032,0,0
Current Measures,New Brunswick,Coal & Coke,2032,0,0
Global Net-zero,New Brunswick,Coal & Coke,2032,0,0
Canada Net-zero,New Brunswick,Hydro / Wave / Tidal,2032,2676.57,960.98
Current Measures,New Brunswick,Hydro / Wave / Tidal,2032,2961.19,960.98
Global Net-zero,New Brunswick,Hydro / Wave / Tidal,2032,2644.78,960.98
Canada Net-zero,New Brunswick,Natural Gas,2032,63.62,290
Current Measures,New Brunswick,Natural Gas,2032,1.71,290
Global Net-zero,New Brunswick,Natural Gas,2032,86.45,290
Canada Net-zero,New Brunswick,Oil,2032,6.22,1564.34
Current Measures,New Brunswick,Oil,2032,0,1564.34
Global Net-zero,New Brunswick,Oil,2032,17.01,1564.34
Canada Net-zero,New Brunswick,Solar,2032,70.46,30.16
Current Measures,New Brunswick,Solar,2032,63.48,30.16
Global Net-zero,New Brunswick,Solar,2032,135.43,70.16
Canada Net-zero,New Brunswick,Uranium,2032,5154.33,705
Current Measures,New Brunswick,Uranium,2032,5373.87,705
Global Net-zero,New Brunswick,Uranium,2032,5188,705
Canada Net-zero,New Brunswick,Wind,2032,3829.45,1152.87
Current Measures,New Brunswick,Wind,2032,3519.42,1024.03
Global Net-zero,New Brunswick,Wind,2032,3953.41,1166.31
Canada Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2032,45560.46,7607.06
Current Measures,Newfoundland and Labrador,Hydro / Wave / Tidal,2032,45054.52,7607.06
Global Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2032,45596.5,7607.06
Canada Net-zero,Newfoundland and Labrador,Natural Gas,2032,0,191.5
Current Measures,Newfoundland and Labrador,Natural Gas,2032,0,191.5
Global Net-zero,Newfoundland and Labrador,Natural Gas,2032,0,191.5
Canada Net-zero,Newfoundland and Labrador,Oil,2032,0,279.55
Current Measures,Newfoundland and Labrador,Oil,2032,0,279.55
Global Net-zero,Newfoundland and Labrador,Oil,2032,0,279.55
Canada Net-zero,Newfoundland and Labrador,Solar,2032,12.66,0.02
Current Measures,Newfoundland and Labrador,Solar,2032,6.92,0.02
Global Net-zero,Newfoundland and Labrador,Solar,2032,12.66,0.02
Canada Net-zero,Newfoundland and Labrador,Wind,2032,194.5,54.3
Current Measures,Newfoundland and Labrador,Wind,2032,194.5,54.3
Global Net-zero,Newfoundland and Labrador,Wind,2032,194.5,54.3
Canada Net-zero,Nova Scotia,Biomass / Geothermal,2032,163.42,112.56
Current Measures,Nova Scotia,Biomass / Geothermal,2032,377.46,112.56
Global Net-zero,Nova Scotia,Biomass / Geothermal,2032,183.09,112.56
Canada Net-zero,Nova Scotia,Coal & Coke,2032,0,0
Current Measures,Nova Scotia,Coal & Coke,2032,0,0
Global Net-zero,Nova Scotia,Coal & Coke,2032,0,0
Canada Net-zero,Nova Scotia,Hydro / Wave / Tidal,2032,444.09,389.35
Current Measures,Nova Scotia,Hydro / Wave / Tidal,2032,987.57,389.35
Global Net-zero,Nova Scotia,Hydro / Wave / Tidal,2032,436.81,389.35
Canada Net-zero,Nova Scotia,Natural Gas,2032,213.83,1474.1
Current Measures,Nova Scotia,Natural Gas,2032,5761.05,1736.24
Global Net-zero,Nova Scotia,Natural Gas,2032,173.17,658.7
Canada Net-zero,Nova Scotia,Oil,2032,0,222.3
Current Measures,Nova Scotia,Oil,2032,0,222.3
Global Net-zero,Nova Scotia,Oil,2032,0,222.3
Canada Net-zero,Nova Scotia,Solar,2032,15.12,0.37
Current Measures,Nova Scotia,Solar,2032,8.49,0.37
Global Net-zero,Nova Scotia,Solar,2032,61.97,40.37
Canada Net-zero,Nova Scotia,Wind,2032,16723.13,3803.18
Current Measures,Nova Scotia,Wind,2032,2608.7,725.37
Global Net-zero,Nova Scotia,Wind,2032,16654.38,3803.18
Canada Net-zero,Northwest Territories,Hydro / Wave / Tidal,2032,546,115.48
Current Measures,Northwest Territories,Hydro / Wave / Tidal,2032,314.94,115.48
Global Net-zero,Northwest Territories,Hydro / Wave / Tidal,2032,387.8,115.48
Canada Net-zero,Northwest Territories,Natural Gas,2032,96.89,17.8
Current Measures,Northwest Territories,Natural Gas,2032,0,17.8
Global Net-zero,Northwest Territories,Natural Gas,2032,0,17.8
Canada Net-zero,Northwest Territories,Oil,2032,21.06,89.2
Current Measures,Northwest Territories,Oil,2032,14.02,120
Global Net-zero,Northwest Territories,Oil,2032,8.28,89.2
Canada Net-zero,Northwest Territories,Solar,2032,7.9,5.02
Current Measures,Northwest Territories,Solar,2032,3.21,2.02
Global Net-zero,Northwest Territories,Solar,2032,3.7,2.02
Canada Net-zero,Northwest Territories,Wind,2032,35.49,19.62
Current Measures,Northwest Territories,Wind,2032,17.01,13.2
Global Net-zero,Northwest Territories,Wind,2032,23.35,13.2
Current Measures,Nunavut,Biomass / Geothermal,2032,0,0
Canada Net-zero,Nunavut,Oil,2032,319.06,70.28
Current Measures,Nunavut,Oil,2032,295.55,70.28
Global Net-zero,Nunavut,Oil,2032,313.77,70.28
Canada Net-zero,Nunavut,Solar,2032,2.77,2.03
Current Measures,Nunavut,Solar,2032,2.45,2.03
Global Net-zero,Nunavut,Solar,2032,2.77,2.03
Canada Net-zero,Nunavut,Wind,2032,16.27,5.85
Current Measures,Nunavut,Wind,2032,16.27,5.76
Global Net-zero,Nunavut,Wind,2032,16.27,5.74
Canada Net-zero,Ontario,Biomass / Geothermal,2032,2332.15,731.95
Current Measures,Ontario,Biomass / Geothermal,2032,1752.12,698.62
Global Net-zero,Ontario,Biomass / Geothermal,2032,2388.69,731.95
Canada Net-zero,Ontario,Hydro / Wave / Tidal,2032,39502.2,9663.68
Current Measures,Ontario,Hydro / Wave / Tidal,2032,37673.27,9263.68
Global Net-zero,Ontario,Hydro / Wave / Tidal,2032,39515.25,9663.68
Canada Net-zero,Ontario,Natural Gas,2032,11452.59,18139.23
Current Measures,Ontario,Natural Gas,2032,16642.69,13243.97
Global Net-zero,Ontario,Natural Gas,2032,16200.7,19023.98
Canada Net-zero,Ontario,Oil,2032,13.66,228.45
Current Measures,Ontario,Oil,2032,13.66,228.45
Global Net-zero,Ontario,Oil,2032,13.66,228.45
Canada Net-zero,Ontario,Solar,2032,9490.51,3016.18
Current Measures,Ontario,Solar,2032,8709.14,2669.46
Global Net-zero,Ontario,Solar,2032,9745.62,3149.46
Canada Net-zero,Ontario,Uranium,2032,102610.5,13880.14
Current Measures,Ontario,Uranium,2032,78025.38,10360
Global Net-zero,Ontario,Uranium,2032,94020.15,12366.09
Canada Net-zero,Ontario,Wind,2032,43425.33,11602.63
Current Measures,Ontario,Wind,2032,29310.36,8701.92
Global Net-zero,Ontario,Wind,2032,43258.58,11713.86
Canada Net-zero,Prince Edward Island,Biomass / Geothermal,2032,8.61,2.1
Current Measures,Prince Edward Island,Biomass / Geothermal,2032,8.36,2.1
Global Net-zero,Prince Edward Island,Biomass / Geothermal,2032,9.42,2.1
Canada Net-zero,Prince Edward Island,Oil,2032,60.92,170.45
Current Measures,Prince Edward Island,Oil,2032,26.34,170.45
Global Net-zero,Prince Edward Island,Oil,2032,94.05,170.45
Canada Net-zero,Prince Edward Island,Solar,2032,99.77,61.97
Current Measures,Prince Edward Island,Solar,2032,2.71,0
Global Net-zero,Prince Edward Island,Solar,2032,63.02,37.28
Canada Net-zero,Prince Edward Island,Uranium,2032,0,0
Global Net-zero,Prince Edward Island,Uranium,2032,0,0
Canada Net-zero,Prince Edward Island,Wind,2032,1540.77,419.34
Current Measures,Prince Edward Island,Wind,2032,1785.39,514.68
Global Net-zero,Prince Edward Island,Wind,2032,1338.63,358.28
Canada Net-zero,Quebec,Biomass / Geothermal,2032,1743.93,326.39
Current Measures,Quebec,Biomass / Geothermal,2032,4312.82,7287.39
Global Net-zero,Quebec,Biomass / Geothermal,2032,1741.1,326.39
Canada Net-zero,Quebec,Hydro / Wave / Tidal,2032,252835.88,44990.14
Current Measures,Quebec,Hydro / Wave / Tidal,2032,244903.35,43486.87
Global Net-zero,Quebec,Hydro / Wave / Tidal,2032,250516.13,44422.57
Canada Net-zero,Quebec,Natural Gas,2032,150.36,560
Current Measures,Quebec,Natural Gas,2032,0,560
Global Net-zero,Quebec,Natural Gas,2032,166.16,560
Canada Net-zero,Quebec,Oil,2032,322.6,244
Current Measures,Quebec,Oil,2032,320.62,244
Global Net-zero,Quebec,Oil,2032,322.9,244
Canada Net-zero,Quebec,Solar,2032,233.49,0.3
Current Measures,Quebec,Solar,2032,128.6,0.3
Global Net-zero,Quebec,Solar,2032,337.56,72.3
Canada Net-zero,Quebec,Uranium,2032,0,0
Global Net-zero,Quebec,Uranium,2032,0,0
Canada Net-zero,Quebec,Wind,2032,17836.24,4972.61
Current Measures,Quebec,Wind,2032,24483.25,7420.41
Global Net-zero,Quebec,Wind,2032,15231.1,4635.5
Canada Net-zero,Saskatchewan,Biomass / Geothermal,2032,2005.23,258.22
Current Measures,Saskatchewan,Biomass / Geothermal,2032,290.24,36
Global Net-zero,Saskatchewan,Biomass / Geothermal,2032,1972.42,258.22
Canada Net-zero,Saskatchewan,Coal & Coke,2032,656.02,115
Current Measures,Saskatchewan,Coal & Coke,2032,654.81,115
Global Net-zero,Saskatchewan,Coal & Coke,2032,654.81,115
Canada Net-zero,Saskatchewan,Hydro / Wave / Tidal,2032,3971.91,959.06
Current Measures,Saskatchewan,Hydro / Wave / Tidal,2032,4254.11,939.06
Global Net-zero,Saskatchewan,Hydro / Wave / Tidal,2032,4146.28,939.06
Canada Net-zero,Saskatchewan,Natural Gas,2032,7922.17,3894.35
Current Measures,Saskatchewan,Natural Gas,2032,12686.83,3736.23
Global Net-zero,Saskatchewan,Natural Gas,2032,10139.84,3823.67
Canada Net-zero,Saskatchewan,Oil,2032,0,16.96
Current Measures,Saskatchewan,Oil,2032,0,16.96
Global Net-zero,Saskatchewan,Oil,2032,0,16.96
Canada Net-zero,Saskatchewan,Solar,2032,1476.07,656.33
Current Measures,Saskatchewan,Solar,2032,860.36,381.96
Global Net-zero,Saskatchewan,Solar,2032,861.21,344.92
Canada Net-zero,Saskatchewan,Uranium,2032,3442.54,428
Global Net-zero,Saskatchewan,Uranium,2032,2355.92,282.17
Canada Net-zero,Saskatchewan,Wind,2032,13763.73,3671.77
Current Measures,Saskatchewan,Wind,2032,10597.44,2850.78
Global Net-zero,Saskatchewan,Wind,2032,10856.32,2958.6
Canada Net-zero,Yukon,Biomass / Geothermal,2032,103.25,43.93
Current Measures,Yukon,Biomass / Geothermal,2032,154.4,36.73
Global Net-zero,Yukon,Biomass / Geothermal,2032,75.54,40.56
Canada Net-zero,Yukon,Hydro / Wave / Tidal,2032,466.16,104.5
Current Measures,Yukon,Hydro / Wave / Tidal,2032,466.16,104.5
Global Net-zero,Yukon,Hydro / Wave / Tidal,2032,466.16,104.5
Canada Net-zero,Yukon,Natural Gas,2032,173.44,19.8
Current Measures,Yukon,Natural Gas,2032,170.37,19.8
Global Net-zero,Yukon,Natural Gas,2032,173.04,19.8
Canada Net-zero,Yukon,Oil,2032,170.62,23.57
Current Measures,Yukon,Oil,2032,22.67,23.57
Global Net-zero,Yukon,Oil,2032,165.19,23.57
Canada Net-zero,Yukon,Solar,2032,4.36,2.04
Current Measures,Yukon,Solar,2032,3.77,2.04
Global Net-zero,Yukon,Solar,2032,4.36,2.04
Canada Net-zero,Yukon,Wind,2032,14.57,11.02
Current Measures,Yukon,Wind,2032,14.57,10.97
Global Net-zero,Yukon,Wind,2032,14.57,10.95
Canada Net-zero,Alberta,Biomass / Geothermal,2033,5071.8,722.32
Current Measures,Alberta,Biomass / Geothermal,2033,1055.25,285.65
Global Net-zero,Alberta,Biomass / Geothermal,2033,5121.79,722.32
Canada Net-zero,Alberta,Coal & Coke,2033,0,0
Current Measures,Alberta,Coal & Coke,2033,0,0
Global Net-zero,Alberta,Coal & Coke,2033,0,0
Canada Net-zero,Alberta,Hydro / Wave / Tidal,2033,1590.49,894.35
Current Measures,Alberta,Hydro / Wave / Tidal,2033,1651.07,894.35
Global Net-zero,Alberta,Hydro / Wave / Tidal,2033,1634.44,894.35
Canada Net-zero,Alberta,Natural Gas,2033,42566.22,15630.86
Current Measures,Alberta,Natural Gas,2033,88302.16,17906.01
Global Net-zero,Alberta,Natural Gas,2033,43284.36,14852.34
Canada Net-zero,Alberta,Oil,2033,0,7.15
Current Measures,Alberta,Oil,2033,0,7.15
Global Net-zero,Alberta,Oil,2033,0,7.15
Canada Net-zero,Alberta,Solar,2033,17301.44,8579.43
Current Measures,Alberta,Solar,2033,5628.97,2700.47
Global Net-zero,Alberta,Solar,2033,14809.53,7236.77
Canada Net-zero,Alberta,Uranium,2033,2406.11,275.38
Global Net-zero,Alberta,Uranium,2033,0,0
Canada Net-zero,Alberta,Wind,2033,50393.41,12918.18
Current Measures,Alberta,Wind,2033,14174.01,3748.56
Global Net-zero,Alberta,Wind,2033,38629.63,10115.35
Canada Net-zero,British Columbia,Biomass / Geothermal,2033,5854.1,1129.05
Current Measures,British Columbia,Biomass / Geothermal,2033,2891.43,1079.05
Global Net-zero,British Columbia,Biomass / Geothermal,2033,4946.35,1029.05
Canada Net-zero,British Columbia,Hydro / Wave / Tidal,2033,63023.92,17053.47
Current Measures,British Columbia,Hydro / Wave / Tidal,2033,63634.14,17203.47
Global Net-zero,British Columbia,Hydro / Wave / Tidal,2033,63023.57,17053.47
Canada Net-zero,British Columbia,Natural Gas,2033,3899.98,3953.37
Current Measures,British Columbia,Natural Gas,2033,10621.2,4750.68
Global Net-zero,British Columbia,Natural Gas,2033,2813.98,3042.29
Canada Net-zero,British Columbia,Oil,2033,0,36.46
Current Measures,British Columbia,Oil,2033,0,36.46
Global Net-zero,British Columbia,Oil,2033,0,36.46
Canada Net-zero,British Columbia,Solar,2033,4240.25,2249.13
Current Measures,British Columbia,Solar,2033,4661.72,2787.59
Global Net-zero,British Columbia,Solar,2033,4372.64,2327.66
Canada Net-zero,British Columbia,Uranium,2033,11300.47,1284
Global Net-zero,British Columbia,Uranium,2033,3909.93,448.75
Canada Net-zero,British Columbia,Wind,2033,6978.39,2214.55
Current Measures,British Columbia,Wind,2033,4587.06,1484.73
Global Net-zero,British Columbia,Wind,2033,6270.71,2040.54
Canada Net-zero,Manitoba,Biomass / Geothermal,2033,78.66,29.06
Current Measures,Manitoba,Biomass / Geothermal,2033,332.8,389.05
Global Net-zero,Manitoba,Biomass / Geothermal,2033,78.66,22
Canada Net-zero,Manitoba,Hydro / Wave / Tidal,2033,43306.89,7639.34
Current Measures,Manitoba,Hydro / Wave / Tidal,2033,37145.05,6572.69
Global Net-zero,Manitoba,Hydro / Wave / Tidal,2033,42887.11,7536.28
Canada Net-zero,Manitoba,Natural Gas,2033,13.07,402.61
Current Measures,Manitoba,Natural Gas,2033,11.12,402.61
Global Net-zero,Manitoba,Natural Gas,2033,15.4,402.61
Canada Net-zero,Manitoba,Oil,2033,0.91,37.31
Current Measures,Manitoba,Oil,2033,0.71,37.31
Global Net-zero,Manitoba,Oil,2033,1.16,37.31
Canada Net-zero,Manitoba,Solar,2033,78.5,6
Current Measures,Manitoba,Solar,2033,44.2,6
Global Net-zero,Manitoba,Solar,2033,131.92,36
Canada Net-zero,Manitoba,Uranium,2033,1059.96,294.77
Global Net-zero,Manitoba,Uranium,2033,196.41,51.35
Canada Net-zero,Manitoba,Wind,2033,1111.88,419.93
Current Measures,Manitoba,Wind,2033,2551.03,807.97
Global Net-zero,Manitoba,Wind,2033,1115.83,417.55
Canada Net-zero,New Brunswick,Biomass / Geothermal,2033,213.01,79.2
Current Measures,New Brunswick,Biomass / Geothermal,2033,154.29,79.2
Global Net-zero,New Brunswick,Biomass / Geothermal,2033,249.54,79.2
Canada Net-zero,New Brunswick,Coal & Coke,2033,0,0
Current Measures,New Brunswick,Coal & Coke,2033,0,0
Global Net-zero,New Brunswick,Coal & Coke,2033,0,0
Canada Net-zero,New Brunswick,Hydro / Wave / Tidal,2033,2568.66,960.98
Current Measures,New Brunswick,Hydro / Wave / Tidal,2033,2932.73,960.98
Global Net-zero,New Brunswick,Hydro / Wave / Tidal,2033,2542.97,960.98
Canada Net-zero,New Brunswick,Natural Gas,2033,73.71,290
Current Measures,New Brunswick,Natural Gas,2033,1.94,290
Global Net-zero,New Brunswick,Natural Gas,2033,61.58,290
Canada Net-zero,New Brunswick,Oil,2033,2.59,1564.34
Current Measures,New Brunswick,Oil,2033,0,1564.34
Global Net-zero,New Brunswick,Oil,2033,8.52,1564.34
Canada Net-zero,New Brunswick,Solar,2033,71.16,30.16
Current Measures,New Brunswick,Solar,2033,64.18,30.16
Global Net-zero,New Brunswick,Solar,2033,166.35,90.16
Canada Net-zero,New Brunswick,Uranium,2033,5124.96,705
Current Measures,New Brunswick,Uranium,2033,5363.75,705
Global Net-zero,New Brunswick,Uranium,2033,5145.99,705
Canada Net-zero,New Brunswick,Wind,2033,5012.33,1538.03
Current Measures,New Brunswick,Wind,2033,4725.94,1373.04
Global Net-zero,New Brunswick,Wind,2033,5278.16,1579.97
Canada Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2033,45626.6,7607.06
Current Measures,Newfoundland and Labrador,Hydro / Wave / Tidal,2033,45071.44,7607.06
Global Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2033,45662.79,7607.06
Canada Net-zero,Newfoundland and Labrador,Natural Gas,2033,2.14,120
Current Measures,Newfoundland and Labrador,Natural Gas,2033,0,120
Global Net-zero,Newfoundland and Labrador,Natural Gas,2033,0,120
Canada Net-zero,Newfoundland and Labrador,Oil,2033,0,279.55
Current Measures,Newfoundland and Labrador,Oil,2033,0,279.55
Global Net-zero,Newfoundland and Labrador,Oil,2033,0,279.55
Canada Net-zero,Newfoundland and Labrador,Solar,2033,13.24,0.02
Current Measures,Newfoundland and Labrador,Solar,2033,7.49,0.02
Global Net-zero,Newfoundland and Labrador,Solar,2033,13.24,0.02
Canada Net-zero,Newfoundland and Labrador,Wind,2033,194.5,54.3
Current Measures,Newfoundland and Labrador,Wind,2033,194.5,54.3
Global Net-zero,Newfoundland and Labrador,Wind,2033,194.5,54.3
Canada Net-zero,Nova Scotia,Biomass / Geothermal,2033,119.45,112.56
Current Measures,Nova Scotia,Biomass / Geothermal,2033,395.58,112.56
Global Net-zero,Nova Scotia,Biomass / Geothermal,2033,137.05,112.56
Canada Net-zero,Nova Scotia,Coal & Coke,2033,0,0
Current Measures,Nova Scotia,Coal & Coke,2033,0,0
Global Net-zero,Nova Scotia,Coal & Coke,2033,0,0
Canada Net-zero,Nova Scotia,Hydro / Wave / Tidal,2033,390.86,389.35
Current Measures,Nova Scotia,Hydro / Wave / Tidal,2033,987.57,389.35
Global Net-zero,Nova Scotia,Hydro / Wave / Tidal,2033,387.73,389.35
Canada Net-zero,Nova Scotia,Natural Gas,2033,103.57,1375.1
Current Measures,Nova Scotia,Natural Gas,2033,5793.99,1655.17
Global Net-zero,Nova Scotia,Natural Gas,2033,112.59,658.7
Canada Net-zero,Nova Scotia,Oil,2033,0,222.3
Current Measures,Nova Scotia,Oil,2033,0,222.3
Global Net-zero,Nova Scotia,Oil,2033,0,222.3
Canada Net-zero,Nova Scotia,Solar,2033,15.79,0.37
Current Measures,Nova Scotia,Solar,2033,9.16,0.37
Global Net-zero,Nova Scotia,Solar,2033,78.35,60.37
Canada Net-zero,Nova Scotia,Wind,2033,18510.1,4403.18
Current Measures,Nova Scotia,Wind,2033,2735.12,759.68
Global Net-zero,Nova Scotia,Wind,2033,18419.34,4403.18
Canada Net-zero,Northwest Territories,Hydro / Wave / Tidal,2033,547.38,115.48
Current Measures,Northwest Territories,Hydro / Wave / Tidal,2033,317.08,115.48
Global Net-zero,Northwest Territories,Hydro / Wave / Tidal,2033,408.96,115.48
Canada Net-zero,Northwest Territories,Natural Gas,2033,105.78,17.8
Current Measures,Northwest Territories,Natural Gas,2033,0,17.8
Global Net-zero,Northwest Territories,Natural Gas,2033,0.1,17.8
Canada Net-zero,Northwest Territories,Oil,2033,24.44,89.2
Current Measures,Northwest Territories,Oil,2033,12.99,120
Global Net-zero,Northwest Territories,Oil,2033,7.26,89.2
Canada Net-zero,Northwest Territories,Solar,2033,7.9,5.02
Current Measures,Northwest Territories,Solar,2033,3.21,2.02
Global Net-zero,Northwest Territories,Solar,2033,3.7,2.02
Canada Net-zero,Northwest Territories,Wind,2033,35.49,19.62
Current Measures,Northwest Territories,Wind,2033,17.17,13.2
Global Net-zero,Northwest Territories,Wind,2033,23.97,13.2
Current Measures,Nunavut,Biomass / Geothermal,2033,0,0
Canada Net-zero,Nunavut,Oil,2033,329.7,70.28
Current Measures,Nunavut,Oil,2033,300.95,70.28
Global Net-zero,Nunavut,Oil,2033,322.97,70.28
Canada Net-zero,Nunavut,Solar,2033,2.77,2.03
Current Measures,Nunavut,Solar,2033,2.45,2.03
Global Net-zero,Nunavut,Solar,2033,2.77,2.03
Canada Net-zero,Nunavut,Wind,2033,16.27,5.85
Current Measures,Nunavut,Wind,2033,16.27,5.76
Global Net-zero,Nunavut,Wind,2033,16.27,5.74
